schools,districts,countys,sat_pct_pass_gr12,act_pct_pass_gr12,pct_poverty,pct_asian,pct_black,pct_hispanic,pct_white,pct_mixed,pct_other_race,act_tst_tkrs_gr12,enroll_gr12,sat_tst_tkrs_gr12,school_score_class,school_pov_class
Alhambra Senior High,Martinez Unified,Contra Costa,76.0,75.0,22.1,4.354971240755957,2.7937551355792936,32.128184059161875,45.19309778142975,10.76417419884963,4.7658175842235,40.0,284.0,79.0,excellent,very low
Northgate High,Mt. Diablo Unified,Contra Costa,76.0,82.0,12.1,15.063887020847345,1.277740416946873,13.853396099529252,52.58910558170814,11.36516476126429,5.850706119704102,180.0,364.0,142.0,excellent,very low
College Park High,Mt. Diablo Unified,Contra Costa,78.0,76.0,25.5,10.32258064516129,2.034739454094293,27.444168734491313,43.225806451612904,9.032258064516128,7.94044665012407,70.0,443.0,162.0,excellent,low
Concord High,Mt. Diablo Unified,Contra Costa,56.99999999999999,88.0,53.29999999999999,4.710424710424711,3.474903474903475,52.58687258687259,27.25868725868726,3.5521235521235517,8.416988416988417,24.0,369.0,115.0,good,medium
Mt. Diablo High,Mt. Diablo Unified,Contra Costa,31.0,30.0,79.8,5.194805194805195,6.948051948051948,69.61038961038962,6.298701298701298,2.3376623376623376,9.61038961038961,30.0,255.0,104.0,fair,high
Ygnacio Valley High,Mt. Diablo Unified,Contra Costa,33.0,50.0,79.4,3.3463035019455254,2.6459143968871595,78.28793774319067,8.326848249027236,1.9455252918287937,5.447470817120623,18.0,271.0,85.0,fair,high
Pittsburg Senior High,Pittsburg Unified,Contra Costa,32.0,28.999999999999996,65.0,3.135405105438402,17.48057713651498,63.8457269700333,4.411764705882353,3.2463928967813542,7.880133185349611,155.0,716.0,277.0,fair,medium
Leadership Public Schools: Richmond,West Contra Costa Unified,Contra Costa,23.0,12.0,85.7,1.5025041736227045,2.1702838063439067,93.65609348914859,0.0,0.8347245409015025,1.8363939899833055,148.0,149.0,100.0,poor,high
Hercules High,West Contra Costa Unified,Contra Costa,37.0,65.0,43.3,21.72897196261682,22.07943925233645,23.130841121495326,4.55607476635514,3.9719626168224296,24.53271028037383,20.0,219.0,208.0,fair,low
De Anza High,West Contra Costa Unified,Contra Costa,16.0,35.0,72.2,12.06281227694504,21.413276231263385,49.107780157030696,7.566024268379729,3.140613847251963,6.709493219129194,55.0,332.0,291.0,poor,medium
El Cerrito High,West Contra Costa Unified,Contra Costa,38.0,60.0,41.9,16.573208722741434,15.825545171339565,30.404984423676012,30.8411214953271,3.8629283489096577,2.4922118380062304,48.0,331.0,254.0,fair,low
Pinole Valley High,West Contra Costa Unified,Contra Costa,23.0,52.0,59.699999999999996,10.388580491673276,17.129262490087232,46.62965900079302,12.688342585249801,3.013481363996828,10.15067406819984,33.0,266.0,249.0,poor,medium
Richmond High,West Contra Costa Unified,Contra Costa,12.0,14.000000000000002,89.4,3.815261044176707,6.091030789825971,86.2115127175368,1.4056224899598393,0.4685408299866131,2.0080321285140563,70.0,386.0,322.0,poor,high
Dougherty Valley High,San Ramon Valley Unified,Contra Costa,90.0,96.0,6.3,70.24866785079928,2.3090586145648313,4.8549437537004145,11.5748963883955,4.8845470692717585,6.127886323268205,294.0,766.0,270.0,excellent,very low
San Ramon Valley High,San Ramon Valley Unified,Contra Costa,79.0,87.0,4.1,7.371483996120272,0.7759456838021339,9.893307468477207,73.27837051406402,6.838021338506304,1.842870999030068,282.0,502.0,155.0,excellent,very low
Oak Ridge High,El Dorado Union High,El Dorado,85.0,90.0,6.5,11.25506072874494,1.0526315789473684,11.94331983805668,66.5587044534413,6.234817813765183,2.9554655870445345,201.0,592.0,256.0,excellent,very low
Union Mine High,El Dorado Union High,El Dorado,63.0,67.0,32.5,0.4591368227731864,0.7346189164370982,21.21212121212121,67.67676767676768,7.897153351698806,2.0202020202020203,48.0,259.0,63.0,good,low
